46,Expense,6111-007,Biaya Jasa Profesional
47,Expense,6111-008,Biaya Asuransi
48,Expense,6111-009,Biaya Lain Lain
49,Expense,6111-010,Biaya Pribadi
50,Expense,6111-011,Biaya Keamanan
51,Expense,6112-001,Biaya Pengiriman dan Ekspedisi
52,Expense,6112-002,Biaya Insentive Penjualan
53,Expense,6112-003,Biaya Iklan dan Promosi
54,Expense,6112-004,Biaya Entertainment
55,Expense,6112-005,Biaya Internet
56,Expense,6112-006,Biaya Transport
57,Expense,6112-007,Biaya Pantry
58,Expense,6113-001,Biaya Penyusutan Bangunan Kantor
59,Expense,6113-002,Biaya Penyusutan Inventaris Kantor
60,Expense,6113-002,Biaya Penyusutan Kendaraan
61,Income,7110-001,Pendapatan Jasa Giro
62,Income,7110-002,Pendapatan Bunga Bank
63,Expense,8110-001,Biaya Bunga Bank
64,Expense,8110-002,Biaya Admin Bank
65,Expense,8111-001,Biaya Pajak Penghasilan
66,NULL,9110-001,Pos Silang
102,Liability,9110-002,Rekening Antara
